route_id,origin,destination,estimated_road_km,truck_type,capacity_mt,assumed_rate_rs_per_km,estimated_toll_rs,loading_unloading_rs,estimated_total_trip_cost_rs,data_status
T0001,Alwar,Bharatpur,119.8,Pickup 2T,2.0,25.01,106.0,300,3403.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0002,Barmer,Ajmer,426.2,Truck 16T,16.0,49.58,336.0,500,21969.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0003,Hanumangarh,Alwar,407.9,Pickup 2T,2.0,26.02,354.0,500,11467.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0004,Alwar,Hanumangarh,407.9,LCV 6T,6.0,30.33,617.0,650,13638.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0005,Kota,Nagaur,392.6,Truck 10T,10.0,36.36,588.0,1000,15862.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0006,Alwar,Sri Ganganagar,480.0,Tata Ace / mini,1.0,23.57,528.0,400,12240.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0007,Barmer,Sri Ganganagar,668.3,Truck 16T,16.0,57.03,561.0,400,39072.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0008,Jodhpur,Udaipur,251.4,Truck 16T,16.0,45.95,329.0,300,12182.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0009,Bikaner,Chittorgarh,476.5,Truck 16T,16.0,49.73,784.0,650,25131.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0010,Alwar,Hanumangarh,407.9,Tata Ace / mini,1.0,26.4,427.0,500,11695.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0011,Jodhpur,Kota,392.3,Truck 10T,10.0,36.23,416.0,650,15280.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0012,Sri Ganganagar,Nagaur,385.0,Tata Ace / mini,1.0,22.84,602.0,300,9695.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0013,Sri Ganganagar,Nagaur,385.0,LCV 6T,6.0,32.75,518.0,1000,14126.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0014,Bhilwara,Barmer,420.0,Truck 10T,10.0,48.26,310.0,500,21079.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0015,Chittorgarh,Bhilwara,65.1,LCV 6T,6.0,30.54,41.0,400,2430.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0016,Udaipur,Jaipur,424.8,Pickup 2T,2.0,29.19,362.0,650,13411.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0017,Barmer,Jaipur,583.9,Tata Ace / mini,1.0,24.77,549.0,1000,16011.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0018,Bhilwara,Bharatpur,452.3,LCV 6T,6.0,37.41,669.0,650,18239.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0019,Ajmer,Hanumangarh,447.4,Truck 16T,16.0,59.44,628.0,1000,28223.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0020,Ajmer,Sikar,176.8,Tata Ace / mini,1.0,26.29,114.0,400,5162.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0021,Bharatpur,Sri Ganganagar,593.1,LCV 6T,6.0,40.91,589.0,500,25354.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0022,Jaipur,Barmer,583.9,Tata Ace / mini,1.0,22.65,918.0,300,14443.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0023,Chittorgarh,Nagaur,348.5,Pickup 2T,2.0,33.14,261.0,650,12460.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0024,Barmer,Udaipur,341.4,Truck 16T,16.0,46.72,271.0,500,16721.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0025,Hanumangarh,Alwar,407.9,Tata Ace / mini,1.0,23.36,319.0,650,10497.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0026,Bikaner,Sri Ganganagar,276.8,Truck 16T,16.0,51.05,392.0,1000,15523.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0027,Jaipur,Bharatpur,221.7,Truck 10T,10.0,42.57,309.0,400,10146.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0028,Sikar,Bhilwara,328.4,Truck 16T,16.0,49.85,408.0,1000,17780.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0029,Kota,Bikaner,515.1,Truck 10T,10.0,46.48,785.0,400,25127.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0030,Ajmer,Alwar,297.7,Truck 16T,16.0,46.08,449.0,400,14568.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0031,Bhilwara,Kota,159.2,Tata Ace / mini,1.0,25.74,129.0,800,5027.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0032,Kota,Alwar,347.1,Pickup 2T,2.0,26.51,470.0,500,10172.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
T0033,Sikar,Chittorgarh,392.7,Truck 10T,10.0,45.36,466.0,800,19080.0,SYNTHETIC/DERIVED PROTOTYPE - get live transporter quote for production
